indicator,age_modifier,sex_modifier,value,county
Net Enrolment Rate (NER),primary,total,26.7,Garissa
Net Enrolment Rate (NER),secondary,female,11.3,Garissa
Net Enrolment Rate (NER),secondary,male,9,Garissa
Net Enrolment Rate (NER),secondary,total,9.9,Garissa
Primary-to-Secondary Transition Rate,secondary,female,86.4,Garissa
Primary-to-Secondary Transition Rate,secondary,male,84.8,Garissa
Primary-to-Secondary Transition Rate,secondary,total,85.4,Garissa
Learner to Toilet Ratio in Public Schools,preprimary_ece,female,56,Garissa
Learner to Toilet Ratio in Public Schools,preprimary_ece,male,68,Garissa
Learner to Toilet Ratio in Public Schools,preprimary_ece,total,62,Garissa
Learner to Toilet Ratio in Public Schools,primary,female,35,Garissa
Learner to Toilet Ratio in Public Schools,primary,male,49,Garissa
Learner to Toilet Ratio in Public Schools,primary,total,42,Garissa
Learner to Toilet Ratio in Public Schools,secondary,female,26,Garissa
Learner to Toilet Ratio in Public Schools,secondary,male,23,Garissa
Learner to Toilet Ratio in Public Schools,secondary,total,25,Garissa
county_population,total,female,468506,Garissa
county_population,total,male,458525,Garissa
county_population,total,total,927031,Garissa
school_age_children,total,female,170548,Garissa
school_age_children,total,male,163146,Garissa
school_age_children,total,total,333694,Garissa
out_of_school_children,preprimary_ece,female,22980,Garissa
out_of_school_children,preprimary_ece,male,27050,Garissa
out_of_school_children,preprimary_ece,total,50030,Garissa
out_of_school_children,primary,female,75910,Garissa
out_of_school_children,primary,male,90100,Garissa
out_of_school_children,primary,total,166010,Garissa
out_of_school_children,secondary,female,28540,Garissa
out_of_school_children,secondary,male,44830,Garissa
out_of_school_children,secondary,total,73370,Garissa
Percentage of Teenage Pregnancy for girls/women aged 15-19 yrs who have ever been pregnant,total,female,0.148,Garissa
GBV: Percentage of girls/women who have experienced physical violence since age 15,total,female,0.21,Garissa
GBV: Percentage of girls/women aged 15-49 yrs who have ever experienced sexual violence,total,female,0.058,Garissa
Number of education Institutions (Public & Private),preprimary_ece,total,249,Isiolo
Number of education Institutions (Public & Private),primary,total,160,Isiolo
Number of education Institutions (Public & Private),secondary,total,35,Isiolo
Gender Parity Index,preprimary_ece,total,1.05,Isiolo
Gender Parity Index,primary,total,1.08,Isiolo
Gender Parity Index,secondary,total,0.98,Isiolo
Learner to teacher Ratio in Public Schools,preprimary_ece,total,40,Isiolo
Learner to teacher Ratio in Public Schools,primary,total,28,Isiolo
Learner to teacher Ratio in Public Schools,secondary,total,19,Isiolo
Learner-Classroom Ratio in Public Schools,preprimary_ece,total,64,Isiolo
Learner-Classroom Ratio in Public Schools,primary,total,33,Isiolo
Learner-Classroom Ratio in Public Schools,secondary,total,30,Isiolo
Percentage of students with no access to improved water source,NA,total,37,Isiolo
Number of schools with no water source,NA,total,63,Isiolo
Students' dropout/Absenteeism during 2022,preprimary_ece,female,0,Isiolo
Students' dropout/Absenteeism during 2022,preprimary_ece,male,0,Isiolo
Students' dropout/Absenteeism during 2022,preprimary_ece,total,0,Isiolo
Students' dropout/Absenteeism during 2022,primary,female,0,Isiolo
Students' dropout/Absenteeism during 2022,primary,male,0,Isiolo
Students' dropout/Absenteeism during 2022,primary,total,0,Isiolo
Students' dropout/Absenteeism during 2022,secondary,female,0,Isiolo
Students' dropout/Absenteeism during 2022,secondary,male,0,Isiolo
Students' dropout/Absenteeism during 2022,secondary,total,0,Isiolo
Net Enrolment Rate (NER),preprimary_ece,female,106.9,Isiolo
Net Enrolment Rate (NER),preprimary_ece,male,99.4,Isiolo
Net Enrolment Rate (NER),preprimary_ece,total,103.1,Isiolo
Net Enrolment Rate (NER),primary,female,39.3,Isiolo
Net Enrolment Rate (NER),primary,male,35,Isiolo
Net Enrolment Rate (NER),primary,total,37.1,Isiolo
Net Enrolment Rate (NER),secondary,female,22.4,Isiolo
Net Enrolment Rate (NER),secondary,male,18.7,Isiolo
Net Enrolment Rate (NER),secondary,total,20.4,Isiolo
Primary-to-Secondary Transition Rate,secondary,female,67.5,Isiolo
Primary-to-Secondary Transition Rate,secondary,male,74,Isiolo
Primary-to-Secondary Transition Rate,secondary,total,70.4,Isiolo
Learner to Toilet Ratio in Public Schools,preprimary_ece,female,78,Isiolo
Learner to Toilet Ratio in Public Schools,preprimary_ece,male,76,Isiolo
Learner to Toilet Ratio in Public Schools,preprimary_ece,total,77,Isiolo
Learner to Toilet Ratio in Public Schools,primary,female,30,Isiolo
Learner to Toilet Ratio in Public Schools,primary,male,30,Isiolo
Learner to Toilet Ratio in Public Schools,primary,total,30,Isiolo
Learner to Toilet Ratio in Public Schools,secondary,female,18,Isiolo
Learner to Toilet Ratio in Public Schools,secondary,male,19,Isiolo
Learner to Toilet Ratio in Public Schools,secondary,total,19,Isiolo
county_population,total,female,161431,Isiolo
county_population,total,male,154506,Isiolo
county_population,total,total,315937,Isiolo
school_age_children,total,female,60018,Isiolo
school_age_children,total,male,57625,Isiolo
school_age_children,total,total,117643,Isiolo
out_of_school_children,preprimary_ece,female,3860,Isiolo
out_of_school_children,preprimary_ece,male,4630,Isiolo
out_of_school_children,preprimary_ece,total,8490,Isiolo
out_of_school_children,primary,female,10150,Isiolo
out_of_school_children,primary,male,11930,Isiolo
out_of_school_children,primary,total,22080,Isiolo
out_of_school_children,secondary,female,4260,Isiolo
out_of_school_children,secondary,male,7030,Isiolo
out_of_school_children,secondary,total,11290,Isiolo
Percentage of Teenage Pregnancy for girls/women aged 15-19 yrs who have ever been pregnant,total,female,0.167,Isiolo
GBV: Percentage of girls/women who have experienced physical violence since age 15,total,female,0.456,Isiolo
GBV: Percentage of girls/women aged 15-49 yrs who have ever experienced sexual violence,total,female,0.092,Isiolo
Number of education Institutions (Public & Private),preprimary_ece,total,2219,Kitui
Number of education Institutions (Public & Private),primary,total,1523,Kitui
Number of education Institutions (Public & Private),secondary,total,455,Kitui
Gender Parity Index,preprimary_ece,total,0.97,Kitui
Gender Parity Index,primary,total,0.95,Kitui
Gender Parity Index,secondary,total,1.1,Kitui
Learner to teacher Ratio in Public Schools,preprimary_ece,total,35,Kitui
Learner to teacher Ratio in Public Schools,primary,total,42,Kitui
Learner to teacher Ratio in Public Schools,secondary,total,26,Kitui
Learner-Classroom Ratio in Public Schools,preprimary_ece,total,35,Kitui
Learner-Classroom Ratio in Public Schools,primary,total,24,Kitui
Learner-Classroom Ratio in Public Schools,secondary,total,34,Kitui
Percentage of students with no access to improved water source,NA,total,69,Kitui
Number of schools with no water source,NA,total,1392,Kitui
Students' dropout/Absenteeism during 2022,preprimary_ece,female,518,Kitui
Students' dropout/Absenteeism during 2022,preprimary_ece,male,996,Kitui
Students' dropout/Absenteeism during 2022,preprimary_ece,total,1514,Kitui
Students' dropout/Absenteeism during 2022,primary,female,11226,Kitui
Students' dropout/Absenteeism during 2022,primary,male,6432,Kitui
Students' dropout/Absenteeism during 2022,primary,total,17658,Kitui
Students' dropout/Absenteeism during 2022,secondary,female,4650,Kitui
Students' dropout/Absenteeism during 2022,secondary,male,1389,Kitui
Students' dropout/Absenteeism during 2022,secondary,total,6039,Kitui
Net Enrolment Rate (NER),preprimary_ece,female,151.4,Kitui
Net Enrolment Rate (NER),preprimary_ece,male,152.7,Kitui
Net Enrolment Rate (NER),preprimary_ece,total,152.1,Kitui
Net Enrolment Rate (NER),primary,female,97.1,Kitui
Net Enrolment Rate (NER),primary,male,98.8,Kitui
Net Enrolment Rate (NER),primary,total,98,Kitui
Net Enrolment Rate (NER),secondary,female,58.3,Kitui
Net Enrolment Rate (NER),secondary,male,48.1,Kitui
Net Enrolment Rate (NER),secondary,total,53.1,Kitui
Primary-to-Secondary Transition Rate,secondary,female,82.7,Kitui
Primary-to-Secondary Transition Rate,secondary,male,81.5,Kitui
Primary-to-Secondary Transition Rate,secondary,total,82.1,Kitui
Learner to Toilet Ratio in Public Schools,preprimary_ece,female,15,Kitui
Learner to Toilet Ratio in Public Schools,preprimary_ece,male,22,Kitui
Learner to Toilet Ratio in Public Schools,preprimary_ece,total,18.5,Kitui
Learner to Toilet Ratio in Public Schools,primary,female,23,Kitui
Learner to Toilet Ratio in Public Schools,primary,male,13,Kitui
Learner to Toilet Ratio in Public Schools,primary,total,18,Kitui
Learner to Toilet Ratio in Public Schools,secondary,female,15,Kitui
Learner to Toilet Ratio in Public Schools,secondary,male,17,Kitui
Learner to Toilet Ratio in Public Schools,secondary,total,16,Kitui
county_population,total,female,626579,Kitui
county_population,total,male,603211,Kitui
county_population,total,total,1229790,Kitui
school_age_children,total,female,205712,Kitui
school_age_children,total,male,201432,Kitui
school_age_children,total,total,407144,Kitui
out_of_school_children,preprimary_ece,female,6320,Kitui
out_of_school_children,preprimary_ece,male,7510,Kitui
out_of_school_children,preprimary_ece,total,13830,Kitui
out_of_school_children,primary,female,4090,Kitui
out_of_school_children,primary,male,4630,Kitui
out_of_school_children,primary,total,8720,Kitui
out_of_school_children,secondary,female,4650,Kitui
out_of_school_children,secondary,male,5530,Kitui
out_of_school_children,secondary,total,10180,Kitui
Percentage of Teenage Pregnancy for girls/women aged 15-19 yrs who have ever been pregnant,total,female,0.092,Kitui
GBV: Percentage of girls/women who have experienced physical violence since age 15,total,female,0.115,Kitui
GBV: Percentage of girls/women aged 15-49 yrs who have ever experienced sexual violence,total,female,0.009,Kitui
Number of education Institutions (Public & Private),preprimary_ece,total,567,Laikipia
Number of education Institutions (Public & Private),primary,total,373,Laikipia
Number of education Institutions (Public & Private),secondary,total,140,Laikipia
Gender Parity Index,preprimary_ece,total,0.97,Laikipia
Gender Parity Index,primary,total,0.95,Laikipia
Gender Parity Index,secondary,total,1.02,Laikipia
Learner to teacher Ratio in Public Schools,preprimary_ece,total,48,Laikipia
Learner to teacher Ratio in Public Schools,primary,total,32,Laikipia
Learner to teacher Ratio in Public Schools,secondary,total,25,Laikipia
Learner-Classroom Ratio in Public Schools,preprimary_ece,total,41,Laikipia
Learner-Classroom Ratio in Public Schools,primary,total,31,Laikipia
Learner-Classroom Ratio in Public Schools,secondary,total,36,Laikipia
Percentage of students with no access to improved water source,NA,total,32,Laikipia
Number of schools with no water source,NA,total,168,Laikipia
Students' dropout/Absenteeism during 2022,preprimary_ece,female,0,Laikipia
Students' dropout/Absenteeism during 2022,preprimary_ece,male,0,Laikipia
Students' dropout/Absenteeism during 2022,preprimary_ece,total,0,Laikipia
Students' dropout/Absenteeism during 2022,primary,female,9075,Laikipia
Students' dropout/Absenteeism during 2022,primary,male,8935,Laikipia
Students' dropout/Absenteeism during 2022,primary,total,18010,Laikipia
Students' dropout/Absenteeism during 2022,secondary,female,1521,Laikipia
Students' dropout/Absenteeism during 2022,secondary,male,10450,Laikipia
Students' dropout/Absenteeism during 2022,secondary,total,11971,Laikipia
Net Enrolment Rate (NER),preprimary_ece,female,115.1,Laikipia
Net Enrolment Rate (NER),preprimary_ece,male,116.7,Laikipia
Net Enrolment Rate (NER),preprimary_ece,total,115.9,Laikipia
Net Enrolment Rate (NER),primary,female,80.5,Laikipia
Net Enrolment Rate (NER),primary,male,79.9,Laikipia
Net Enrolment Rate (NER),primary,total,80.2,Laikipia
Net Enrolment Rate (NER),secondary,female,64.7,Laikipia
Net Enrolment Rate (NER),secondary,male,54.2,Laikipia
Net Enrolment Rate (NER),secondary,total,59.3,Laikipia
Primary-to-Secondary Transition Rate,secondary,female,88.6,Laikipia
Primary-to-Secondary Transition Rate,secondary,male,87.6,Laikipia
Primary-to-Secondary Transition Rate,secondary,total,88.1,Laikipia
Learner to Toilet Ratio in Public Schools,preprimary_ece,female,33,Laikipia
Learner to Toilet Ratio in Public Schools,preprimary_ece,male,37,Laikipia
Learner to Toilet Ratio in Public Schools,preprimary_ece,total,35,Laikipia
Learner to Toilet Ratio in Public Schools,primary,female,21,Laikipia
Learner to Toilet Ratio in Public Schools,primary,male,26,Laikipia
Learner to Toilet Ratio in Public Schools,primary,total,29,Laikipia
Learner to Toilet Ratio in Public Schools,secondary,female,14,Laikipia
Learner to Toilet Ratio in Public Schools,secondary,male,18,Laikipia
Learner to Toilet Ratio in Public Schools,secondary,total,16,Laikipia
county_population,total,female,290317,Laikipia
county_population,total,male,270906,Laikipia
county_population,total,total,561223,Laikipia
school_age_children,total,female,94802,Laikipia
school_age_children,total,male,93214,Laikipia
school_age_children,total,total,188016,Laikipia
out_of_school_children,preprimary_ece,female,3240,Laikipia
out_of_school_children,preprimary_ece,male,3480,Laikipia
out_of_school_children,preprimary_ece,total,6720,Laikipia
out_of_school_children,primary,female,4630,Laikipia
out_of_school_children,primary,male,5320,Laikipia
out_of_school_children,primary,total,9950,Laikipia
out_of_school_children,secondary,female,2450,Laikipia
out_of_school_children,secondary,male,3860,Laikipia
out_of_school_children,secondary,total,6310,Laikipia
Percentage of Teenage Pregnancy for girls/women aged 15-19 yrs who have ever been pregnant,total,female,0.091,Laikipia
GBV: Percentage of girls/women who have experienced physical violence since age 15,total,female,0.345,Laikipia
GBV: Percentage of girls/women aged 15-49 yrs who have ever experienced sexual violence,total,female,0.109,Laikipia
learner_toilet_ratio_recalculated,preprimary_ece,total,34.380221957336794,Baringo
learner_toilet_ratio_recalculated,primary,total,29.366164003415467,Baringo
learner_toilet_ratio_recalculated,secondary,total,18.37000483132725,Baringo
learner_toilet_ratio_recalculated,preprimary_ece,total,62.17058087035702,Garissa
learner_toilet_ratio_recalculated,primary,total,41.97569342760323,Garissa
learner_toilet_ratio_recalculated,secondary,total,24.205510696841937,Garissa
learner_toilet_ratio_recalculated,preprimary_ece,total,77.02715421851526,Isiolo
learner_toilet_ratio_recalculated,primary,total,30,Isiolo
learner_toilet_ratio_recalculated,secondary,total,18.485987649086017,Isiolo
learner_toilet_ratio_recalculated,preprimary_ece,total,17.894414264595913,Kitui
learner_toilet_ratio_recalculated,primary,total,16.492389759786057,Kitui
learner_toilet_ratio_recalculated,secondary,total,15.89786654507349,Kitui
learner_toilet_ratio_recalculated,preprimary_ece,total,34.935362928661625,Laikipia
learner_toilet_ratio_recalculated,primary,total,23.310729954942513,Laikipia
learner_toilet_ratio_recalculated,secondary,total,15.771101209420753,Laikipia
learner_toilet_ratio_recalculated,preprimary_ece,total,14.957563792507774,Makueni
learner_toilet_ratio_recalculated,primary,total,22.44572356155689,Makueni
learner_toilet_ratio_recalculated,secondary,total,17.353292827448694,Makueni
learner_toilet_ratio_recalculated,preprimary_ece,total,165.7446663922253,Mandera
learner_toilet_ratio_recalculated,primary,total,79.72806154060731,Mandera
learner_toilet_ratio_recalculated,secondary,total,27.579241112771182,Mandera
learner_toilet_ratio_recalculated,preprimary_ece,total,77.49769300426902,Marsabit
learner_toilet_ratio_recalculated,primary,total,40.89346420526023,Marsabit
learner_toilet_ratio_recalculated,secondary,total,20.420921622686095,Marsabit
learner_toilet_ratio_recalculated,preprimary_ece,total,28.332305833604497,Meru
learner_toilet_ratio_recalculated,primary,total,21.84923604537987,Meru
learner_toilet_ratio_recalculated,secondary,total,16.302898281220944,Meru
learner_toilet_ratio_recalculated,preprimary_ece,total,36.810786174461334,National
learner_toilet_ratio_recalculated,primary,total,31.46104299072659,National
learner_toilet_ratio_recalculated,secondary,total,19.79971021374014,National
learner_toilet_ratio_recalculated,preprimary_ece,total,79.9312931834588,Samburu
learner_toilet_ratio_recalculated,primary,total,44.67292013082349,Samburu
learner_toilet_ratio_recalculated,secondary,total,19.61356651052921,Samburu
learner_toilet_ratio_recalculated,preprimary_ece,total,93.91505647495724,Tana River
learner_toilet_ratio_recalculated,primary,total,46.28076632035124,Tana River
learner_toilet_ratio_recalculated,secondary,total,22.699773666470303,Tana River
learner_toilet_ratio_recalculated,preprimary_ece,total,181.4976807062876,Turkana
learner_toilet_ratio_recalculated,primary,total,75.37805990113162,Turkana
learner_toilet_ratio_recalculated,secondary,total,34.327208796492826,Turkana
learner_toilet_ratio_recalculated,preprimary_ece,total,124.78322525600706,Wajir
learner_toilet_ratio_recalculated,primary,total,58.01546608388669,Wajir
learner_toilet_ratio_recalculated,secondary,total,37.31794948887553,Wajir
learner_toilet_ratio_recalculated,preprimary_ece,boys,100,Tana River
learner_toilet_ratio_recalculated,preprimary_ece,girls,88,Tana River
learner_toilet_ratio_recalculated,preprimary_ece,boys,68,Garissa
learner_toilet_ratio_recalculated,preprimary_ece,girls,56,Garissa
learner_toilet_ratio_recalculated,preprimary_ece,boys,136,Wajir
learner_toilet_ratio_recalculated,preprimary_ece,girls,113,Wajir
learner_toilet_ratio_recalculated,preprimary_ece,boys,185,Mandera
learner_toilet_ratio_recalculated,preprimary_ece,girls,143,Mandera
learner_toilet_ratio_recalculated,preprimary_ece,boys,76,Marsabit
learner_toilet_ratio_recalculated,preprimary_ece,girls,79,Marsabit
learner_toilet_ratio_recalculated,preprimary_ece,boys,76,Isiolo
learner_toilet_ratio_recalculated,preprimary_ece,girls,78,Isiolo
learner_toilet_ratio_recalculated,preprimary_ece,boys,31,Meru
learner_toilet_ratio_recalculated,preprimary_ece,girls,26,Meru
learner_toilet_ratio_recalculated,preprimary_ece,boys,22,Kitui
learner_toilet_ratio_recalculated,preprimary_ece,girls,15,Kitui
learner_toilet_ratio_recalculated,preprimary_ece,boys,16,Makueni
learner_toilet_ratio_recalculated,preprimary_ece,girls,14,Makueni
learner_toilet_ratio_recalculated,preprimary_ece,boys,187,Turkana
learner_toilet_ratio_recalculated,preprimary_ece,girls,176,Turkana
learner_toilet_ratio_recalculated,preprimary_ece,boys,85,Samburu
learner_toilet_ratio_recalculated,preprimary_ece,girls,75,Samburu
learner_toilet_ratio_recalculated,preprimary_ece,boys,37,Baringo
learner_toilet_ratio_recalculated,preprimary_ece,girls,32,Baringo
learner_toilet_ratio_recalculated,preprimary_ece,boys,37,Laikipia
learner_toilet_ratio_recalculated,preprimary_ece,girls,33,Laikipia
learner_toilet_ratio_recalculated,preprimary_ece,boys,40,National
learner_toilet_ratio_recalculated,preprimary_ece,girls,34,National
learner_toilet_ratio_recalculated,primary,boys,50,Tana River
learner_toilet_ratio_recalculated,primary,girls,43,Tana River
learner_toilet_ratio_recalculated,primary,boys,49,Garissa
learner_toilet_ratio_recalculated,primary,girls,35,Garissa
learner_toilet_ratio_recalculated,primary,boys,66,Wajir
learner_toilet_ratio_recalculated,primary,girls,50,Wajir
learner_toilet_ratio_recalculated,primary,boys,94,Mandera
learner_toilet_ratio_recalculated,primary,girls,63,Mandera
learner_toilet_ratio_recalculated,primary,boys,43,Marsabit
learner_toilet_ratio_recalculated,primary,girls,39,Marsabit
learner_toilet_ratio_recalculated,primary,boys,30,Isiolo
learner_toilet_ratio_recalculated,primary,girls,30,Isiolo
learner_toilet_ratio_recalculated,primary,boys,24,Meru
learner_toilet_ratio_recalculated,primary,girls,20,Meru
learner_toilet_ratio_recalculated,primary,boys,13,Kitui
learner_toilet_ratio_recalculated,primary,girls,23,Kitui
learner_toilet_ratio_recalculated,primary,boys,24,Makueni
learner_toilet_ratio_recalculated,primary,girls,21,Makueni
learner_toilet_ratio_recalculated,primary,boys,88,Turkana
learner_toilet_ratio_recalculated,primary,girls,65,Turkana
learner_toilet_ratio_recalculated,primary,boys,50,Samburu
learner_toilet_ratio_recalculated,primary,girls,40,Samburu
learner_toilet_ratio_recalculated,primary,boys,32,Baringo
learner_toilet_ratio_recalculated,primary,girls,27,Baringo
learner_toilet_ratio_recalculated,primary,boys,26,Laikipia
learner_toilet_ratio_recalculated,primary,girls,21,Laikipia
learner_toilet_ratio_recalculated,primary,boys,33,National
learner_toilet_ratio_recalculated,primary,girls,30,National
learner_toilet_ratio_recalculated,secondary,boys,29,Tana River
learner_toilet_ratio_recalculated,secondary,girls,18,Tana River
learner_toilet_ratio_recalculated,secondary,boys,23,Garissa
learner_toilet_ratio_recalculated,secondary,girls,26,Garissa
learner_toilet_ratio_recalculated,secondary,boys,46,Wajir
learner_toilet_ratio_recalculated,secondary,girls,28,Wajir
learner_toilet_ratio_recalculated,secondary,boys,30,Mandera
learner_toilet_ratio_recalculated,secondary,girls,24,Mandera
learner_toilet_ratio_recalculated,secondary,boys,22,Marsabit
learner_toilet_ratio_recalculated,secondary,girls,19,Marsabit
learner_toilet_ratio_recalculated,secondary,boys,19,Isiolo
learner_toilet_ratio_recalculated,secondary,girls,18,Isiolo
learner_toilet_ratio_recalculated,secondary,boys,18,Meru
learner_toilet_ratio_recalculated,secondary,girls,15,Meru
learner_toilet_ratio_recalculated,secondary,boys,17,Kitui
learner_toilet_ratio_recalculated,secondary,girls,15,Kitui
learner_toilet_ratio_recalculated,secondary,boys,19,Makueni
learner_toilet_ratio_recalculated,secondary,girls,16,Makueni
learner_toilet_ratio_recalculated,secondary,boys,40,Turkana
learner_toilet_ratio_recalculated,secondary,girls,28,Turkana
learner_toilet_ratio_recalculated,secondary,boys,21,Samburu
learner_toilet_ratio_recalculated,secondary,girls,18,Samburu
learner_toilet_ratio_recalculated,secondary,boys,20,Baringo
learner_toilet_ratio_recalculated,secondary,girls,17,Baringo
learner_toilet_ratio_recalculated,secondary,boys,18,Laikipia
learner_toilet_ratio_recalculated,secondary,girls,14,Laikipia
learner_toilet_ratio_recalculated,secondary,boys,22,National
learner_toilet_ratio_recalculated,secondary,girls,18,National
